Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,Away_P1,Away_P2,Away_P3,Away_P4,Away_P5,Away_P6,Away_P7,Away_P8,Away_P9,Away_P10,Home_P1,Home_P2,Home_P3,Home_P4,Home_P5,Home_P6,Home_P7,Home_P8,Home_P9,Home_P10,Diff_P1,Diff_P2,Diff_P3,Diff_P4,Diff_P5,Diff_P6,Diff_P7,Diff_P8,Diff_P9,Diff_P10
Wed Mar 10 2021,8:00p,Washington Wizards,,Memphis Grizzlies,,,3.04,1.81,1.5,1.16,0.79,0.6,-1.8,-2.28,-2.84,-4,2.4,2.3,1.32,0.8,0.65,0.2,0.14,-0.01,-2.56,-3.62,0.64,-0.49,0.18,0.36,0.14,0.4,-1.94,-2.27,-0.28,-0.38
Wed Mar 10 2021,8:30p,San Antonio Spurs,,Dallas Mavericks,,,1.59,0.95,0.6,0.43,-0.28,-0.38,-0.61,-1.39,-1.56,-1.77,6.28,3.24,1.48,1.3,0.98,0.27,0.13,0.13,-0.1,-1.73,-4.69,-2.29,-0.88,-0.87,-1.26,-0.65,-0.74,-1.52,-1.46,-0.04
Thu Mar 11 2021,7:00p,Detroit Pistons,,Charlotte Hornets,,,2.46,0.39,0.23,0.2,-0.91,-1,-1.85,-2.09,-2.29,-3.94,2.11,1.9,1,-0.32,-0.55,-1.2,-1.31,-1.98,-2.54,-2.96,0.35,-1.51,-0.77,0.52,-0.36,0.2,-0.54,-0.11,0.25,-0.98
Thu Mar 11 2021,7:30p,Boston Celtics,,Brooklyn Nets,,,3.87,3.03,2.29,1.41,1.26,-0.28,-0.92,-1.97,-2.28,-2.92,8,7.49,3.5,3.28,-0.41,-1.07,-1.16,-1.62,-1.84,-2.12,-4.13,-4.46,-1.21,-1.87,1.67,0.79,0.24,-0.35,-0.44,-0.8
Thu Mar 11 2021,7:30p,Atlanta Hawks,,Toronto Raptors,,,2.42,1.82,1.6,1.51,0.97,0.5,0.42,-1.21,-2.32,-3.53,5.21,3.21,2.04,1.92,1.21,0.89,0.49,-0.07,-0.07,-3.95,-2.79,-1.39,-0.44,-0.41,-0.24,-0.39,-0.07,-1.14,-2.25,0.42
Thu Mar 11 2021,8:00p,Philadelphia 76ers,,Chicago Bulls,,,3.81,3,2.53,1.17,0.23,-0.18,-0.34,-0.95,-2.73,-2.77,0.49,0.21,0.04,0,-0.21,-0.4,-0.48,-0.66,-2.34,-2.84,3.32,2.79,2.49,1.17,0.44,0.22,0.14,-0.29,-0.39,0.07
Thu Mar 11 2021,8:00p,Orlando Magic,,Miami Heat,,,2.57,1.07,1,0.47,-0.05,-0.34,-0.77,-2.52,-2.98,-3.45,3.83,3.08,2.67,1.37,0.14,-0.32,-0.92,-1.06,-1.85,-1.97,-1.26,-2.01,-1.67,-0.9,-0.19,-0.02,0.15,-1.46,-1.13,-1.48
Thu Mar 11 2021,8:00p,New York Knicks,,Milwaukee Bucks,,,1,0.93,0.13,0.03,-0.53,-0.62,-0.67,-1.5,-1.84,-3.84,10.3,3.63,3.11,2.83,2.8,2.08,-1.3,-1.4,-1.75,-1.9,-9.3,-2.7,-2.98,-2.8,-3.33,-2.7,0.63,-0.1,-0.09,-1.94
Thu Mar 11 2021,8:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,2.44,2.12,1.37,1,0.51,0.24,-0.15,-1.29,-1.78,-6.59,3.29,2.11,1.64,1.2,0.63,0.49,-0.98,-1.13,-1.6,-3.81,-0.85,0.01,-0.27,-0.2,-0.12,-0.25,0.83,-0.16,-0.18,-2.78
Thu Mar 11 2021,9:00p,Dallas Mavericks,,Oklahoma City Thunder,,,6.28,3.24,1.48,1.3,0.98,0.27,0.13,0.13,-0.1,-1.73,1.37,1.11,0.38,0.1,-0.1,-1.03,-1.51,-2.57,-3.53,-4.39,4.91,2.13,1.1,1.2,1.08,1.3,1.64,2.7,3.43,2.66
